timeest,temperaturec,dewpointc,humidity,sealevelpressurehpa,visibilitykm,winddirection,windspeedkmh,gustspeedkmh,precipitationmm,events,conditions,winddirdegrees,dateutc
11:51 AM,-1.1,-7.2,64,1009.5,12.9,South,9.3,0,0.0,Snow,Light Snow,180,2012-01-05 16:51:00
12:51 PM,-0.6,-6.1,67,1009.1,12.9,SSE,5.6,0,0.0,Snow,Light Snow,160,2012-01-05 17:51:00
1:51 PM,0.0,-4.4,73,1010.0,11.3,North,11.1,0,0.0,Snow,Light Snow,350,2012-01-05 18:51:00
2:51 PM,0.6,-8.3,52,1010.8,16.1,West,20.4,35.2,0.0,Snow,Light Snow,280,2012-01-05 19:51:00
3:51 PM,-0.6,-8.9,54,1011.8,16.1,West,25.9,35.2,0.0,Snow,Light Snow,270,2012-01-05 20:51:00
4:51 PM,-1.7,-9.4,56,1012.8,16.1,WNW,22.2,35.2,0.0,,Scattered Clouds,290,2012-01-05 21:51:00
5:51 PM,-2.2,-10.6,53,1013.4,16.1,NW,14.8,0,0.0,,Scattered Clouds,310,2012-01-05 22:51:00
6:51 PM,-3.3,-10.6,58,1013.8,16.1,NNW,7.4,0,0.0,,Overcast,340,2012-01-05 23:51:00
7:51 PM,-2.8,-10.0,58,1014.2,16.1,Calm,0,0,0.0,,Overcast,0,2012-01-06 00:51:00
8:51 PM,-2.8,-9.4,61,1014.0,16.1,Calm,0,0,0.0,,Overcast,0,2012-01-06 01:51:00
9:51 PM,-2.8,-8.9,63,1013.7,16.1,Calm,0,0,0.0,,Overcast,0,2012-01-06 02:51:00
10:51 PM,-2.8,-9.4,61,1013.5,16.1,East,5.6,0,0.0,,Overcast,100,2012-01-06 03:51:00
11:51 PM,-2.8,-9.4,61,1013.1,16.1,SSE,5.6,0,0.0,Snow,Light Snow,150,2012-01-06 04:51:00
12:51 AM,-2.8,-8.9,63,1012.5,16.1,SSE,7.4,0,0.0,,Overcast,160,2012-01-06 05:51:00
1:51 AM,-2.2,-8.9,61,1012.1,16.1,SSE,9.3,0,0.0,,Overcast,160,2012-01-06 06:51:00
2:51 AM,-2.8,-7.8,69,1012.3,11.3,SSE,11.1,0,0.0,Snow,Light Snow,160,2012-01-06 07:51:00
3:51 AM,-2.2,-8.3,63,1010.7,16.1,South,9.3,0,0.0,,Overcast,170,2012-01-06 08:51:00
4:51 AM,-1.7,-7.8,64,1009.8,16.1,South,14.8,0,0.0,,Overcast,170,2012-01-06 09:51:00
5:51 AM,-1.7,-6.7,69,1009.8,16.1,South,9.3,0,0.0,,Overcast,180,2012-01-06 10:51:00
6:51 AM,-1.1,-5.6,72,1009.4,16.1,South,11.1,0,0.0,,Overcast,180,2012-01-06 11:51:00
7:51 AM,-0.6,-5.6,69,1008.8,16.1,South,13.0,0,0.0,,Mostly Cloudy,180,2012-01-06 12:51:00
8:51 AM,0.6,-5.0,66,1009.2,16.1,South,16.7,0,0.0,,Mostly Cloudy,180,2012-01-06 13:51:00
9:51 AM,1.7,-5.0,61,1009.1,16.1,South,24.1,33.3,0.0,,Scattered Clouds,190,2012-01-06 14:51:00
10:51 AM,3.0,-5.0,56,1007.7,16.1,SSE,18.5,0,0.0,,Mostly Cloudy,160,2012-01-06 15:51:00
11:51 AM,5.0,-5.0,49,1006.9,16.1,South,14.8,29.6,0.0,,Scattered Clouds,180,2012-01-06 16:51:00
12:51 PM,6.1,-4.4,47,1006.0,16.1,South,13.0,0,0.0,,Scattered Clouds,170,2012-01-06 17:51:00
1:51 PM,7.2,-4.4,44,1005.5,16.1,South,14.8,0,0.0,,Scattered Clouds,170,2012-01-06 18:51:00
2:51 PM,7.8,-3.9,44,1005.3,16.1,SSE,14.8,0,0.0,,Mostly Cloudy,160,2012-01-06 19:51:00
3:51 PM,8.3,-3.9,42,1005.6,16.1,South,13.0,0,0.0,,Mostly Cloudy,170,2012-01-06 20:51:00
4:51 PM,6.0,-4.0,49,1005.3,16.1,South,5.6,0,0.0,,Mostly Cloudy,180,2012-01-06 21:51:00
5:51 PM,1.7,-4.4,64,1006.2,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-06 22:51:00
6:51 PM,0.0,-4.4,73,1006.5,16.1,Calm,0,0,0.0,,Scattered Clouds,0,2012-01-06 23:51:00
7:51 PM,-1.1,-4.4,79,1006.6,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-07 00:51:00
8:51 PM,-1.1,-4.4,79,1006.9,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-07 01:51:00
9:51 PM,-1.7,-4.4,82,1007.0,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-07 02:51:00
10:51 PM,-2.2,-4.4,85,1007.1,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-07 03:51:00
11:51 PM,-1.7,-4.4,82,1006.8,16.1,Calm,0,0,0.0,,Mostly Cloudy,0,2012-01-07 04:51:00
12:51 AM,-2.2,-4.4,85,1006.5,16.1,Calm,0,0,0.0,0.0,Scattered Clouds,0,2012-01-07 05:51:00
1:51 AM,-1.7,-4.4,82,1006.5,16.1,Calm,0,0,0.0,0.0,Mostly Cloudy,0,2012-01-07 06:51:00
2:51 AM,-1.1,-3.3,85,1006.5,16.1,Calm,0,0,0.0,0.0,Overcast,0,2012-01-07 07:51:00
3:51 AM,0.6,-2.8,78,1006.2,16.1,SSW,5.6,0,0.0,0.0,Scattered Clouds,210,2012-01-07 08:51:00
4:51 AM,2.8,-2.2,70,1005.6,16.1,South,13.0,0,0.0,0.0,Partly Cloudy,180,2012-01-07 09:51:00
5:51 AM,2.2,-2.2,73,1006.2,16.1,South,11.1,0,0.0,0.0,Scattered Clouds,180,2012-01-07 10:51:00
6:51 AM,2.8,-2.2,70,1006.3,16.1,South,13.0,0,0.0,0.0,Mostly Cloudy,180,2012-01-07 11:51:00
7:51 AM,2.8,-1.7,73,1006.3,16.1,South,9.3,0,0.0,0.0,Mostly Cloudy,180,2012-01-07 12:51:00
8:51 AM,3.9,-1.7,67,1006.5,16.1,South,22.2,0,0.0,0.0,Scattered Clouds,180,2012-01-07 13:51:00
9:51 AM,5.0,-1.7,62,1006.8,16.1,South,13.0,0,0.0,0.0,Mostly Cloudy,170,2012-01-07 14:51:00
10:51 AM,6.1,-1.1,60,1005.9,16.1,South,9.3,0,0.0,0.0,Mostly Cloudy,170,2012-01-07 15:51:00
11:51 AM,7.8,-0.6,56,1004.8,16.1,South,5.6,0,0.0,0.0,Mostly Cloudy,180,2012-01-07 16:51:00
12:51 PM,5.6,-1.1,62,1005.2,16.1,NNW,11.1,0,0.0,0.0,Mostly Cloudy,340,2012-01-07 17:51:00
1:51 PM,5.6,-1.1,62,1005.7,16.1,Calm,0,0,0.0,0.0,Overcast,0,2012-01-07 18:51:00
2:51 PM,6.7,-0.6,60,1006.5,16.1,Calm,0,0,0.0,0.0,Overcast,0,2012-01-07 19:51:00
3:51 PM,6.1,-0.6,62,1007.5,16.1,Calm,0,0,0.0,0.0,Overcast,0,2012-01-07 20:51:00
4:51 PM,3.3,-1.1,73,1008.4,16.1,Calm,0,0,0.0,0.0,Mostly Cloudy,0,2012-01-07 21:51:00
5:51 PM,1.1,-1.7,82,1009.6,16.1,Calm,0,0,0.0,0.0,Mostly Cloudy,0,2012-01-07 22:51:00
6:51 PM,6.7,0.0,63,1010.9,16.1,WNW,16.7,0,0.0,0.0,Scattered Clouds,290,2012-01-07 23:51:00
7:51 PM,6.7,-1.1,58,1011.9,16.1,Variable,11.1,25.9,0.0,0.0,Scattered Clouds,0,2012-01-08 00:51:00
8:51 PM,5.6,-1.7,60,1013.1,16.1,WNW,14.8,0,0.0,0.0,Partly Cloudy,290,2012-01-08 01:51:00
9:51 PM,3.9,-2.2,65,1014.0,16.1,WNW,14.8,0,0.0,0.0,Partly Cloudy,290,2012-01-08 02:51:00
10:51 PM,2.8,-2.8,67,1014.2,16.1,West,11.1,0,0.0,0.0,Scattered Clouds,280,2012-01-08 03:51:00
11:51 PM,2.8,-2.8,67,1014.8,16.1,West,5.6,0,0.0,0.0,Overcast,260,2012-01-08 04:51:00
12:51 AM,4.4,-2.2,63,1015.6,16.1,WNW,24.1,44.4,0.0,,Overcast,300,2012-01-08 05:51:00
1:51 AM,3.9,-2.8,62,1016.6,16.1,WNW,20.4,33.3,0.0,,Overcast,300,2012-01-08 06:51:00
2:51 AM,3.3,-2.8,65,1017.3,16.1,WNW,18.5,25.9,0.0,,Overcast,300,2012-01-08 07:51:00
3:51 AM,3.3,-4.4,57,1017.9,16.1,WNW,25.9,46.3,0.0,,Overcast,290,2012-01-08 08:51:00
4:51 AM,2.8,-5.0,57,1018.5,16.1,WNW,22.2,38.9,0.0,,Overcast,290,2012-01-08 09:51:00
5:51 AM,3.0,-4.0,60,1019.2,16.1,WNW,16.7,0,0.0,,Overcast,290,2012-01-08 10:51:00
6:51 AM,2.2,-5.6,57,1020.4,16.1,WNW,20.4,40.7,0.0,,Overcast,290,2012-01-08 11:51:00
7:51 AM,2.2,-6.1,55,1020.6,16.1,WNW,18.5,31.5,0.0,,Overcast,300,2012-01-08 12:51:00
8:51 AM,2.2,-5.6,57,1021.5,16.1,West,11.1,0,0.0,,Overcast,280,2012-01-08 13:51:00
9:51 AM,2.2,-5.6,57,1022.2,16.1,NW,18.5,0,0.0,,Mostly Cloudy,310,2012-01-08 14:51:00
10:51 AM,2.8,-6.1,52,1022.6,16.1,WNW,24.1,37.0,0.0,,Overcast,290,2012-01-08 15:51:00
11:51 AM,2.8,-6.7,50,1022.4,16.1,West,29.6,38.9,0.0,,Mostly Cloudy,280,2012-01-08 16:51:00
12:51 PM,2.8,-7.8,46,1022.3,16.1,WNW,35.2,50.0,0.0,,Scattered Clouds,300,2012-01-08 17:51:00
1:51 PM,1.7,-7.2,52,1022.8,16.1,WNW,27.8,38.9,0.0,Snow,Light Snow,300,2012-01-08 18:51:00
2:51 PM,2.8,-7.8,46,1023.3,16.1,NW,27.8,38.9,0.0,,Mostly Cloudy,310,2012-01-08 19:51:00
3:51 PM,1.1,-9.4,46,1024.0,16.1,WNW,29.6,38.9,0.0,,Scattered Clouds,300,2012-01-08 20:51:00
4:51 PM,0.0,-8.9,52,1024.8,16.1,West,24.1,0,0.0,,Partly Cloudy,270,2012-01-08 21:51:00
5:51 PM,-1.1,-8.9,56,1025.9,16.1,West,18.5,0,0.0,,Partly Cloudy,280,2012-01-08 22:51:00
6:51 PM,-1.7,-8.3,61,1026.5,16.1,WNW,18.5,33.3,0.0,,Partly Cloudy,290,2012-01-08 23:51:00
7:51 PM,-2.2,-8.3,63,1026.8,16.1,WNW,16.7,31.5,0.0,,Partly Cloudy,300,2012-01-09 00:51:00
